nom_reservatorioee;ena_data;ena_bruta_ree_mwmed;ena_bruta_ree_percentualmlt;ena_armazenavel_ree_mwmed;ena_armazenavel_ree_percentualmlt
SUDESTE;2022-01-06;21394.162000000004;207.7449;16008.83;155.4514
SUL;2022-01-06;1132.4470000000001;33.6944;975.0790000000001;29.0122
TELES PIRES;2022-01-06;4878.727000000001;145.9526;3724.8859999999995;111.4341
BELO MONTE;2022-01-07;11624.261999999999;206.4972;11290.935;200.5759
IGUACU;2022-01-07;990.356;24.0672;965.1739999999999;23.4552
ITAIPU;2022-01-07;2324.7323839999995;69.1456;2324.7323839999995;69.1456
MADEIRA;2022-01-07;6878.052;83.9813;6818.966;83.2598
MANAUS-AMAPA;2022-01-07;1342.2690000000002;272.7769;618.381;125.6678
NORDESTE;2022-01-07;17008.43;125.8798;16147.916;119.5111
NORTE;2022-01-07;22058.563000000002;232.8495;14309.942;151.0553
PARANA;2022-01-07;33109.59352799999;89.5859;33076.99252800001;89.4977
PARANAPANEMA;2022-01-07;1537.212088;42.0966;1537.2120880000002;42.0966
SUDESTE;2022-01-07;21366.337000000003;207.4747;15387.770000000006;149.4207
SUL;2022-01-07;1151.892;34.273;991.7769999999998;29.509
TELES PIRES;2022-01-07;4787.547;143.2248;3660.3940000000002;109.5048
BELO MONTE;2022-01-08;11698.693000000001;207.8194;11338.162;201.4148
IGUACU;2022-01-08;981.289;23.8468;948.8319999999999;23.0581
ITAIPU;2022-01-08;2376.6182440000002;70.6889;2376.6182440000002;70.6889
MADEIRA;2022-01-08;6768.095000000001;82.6387;6733.339000000001;82.2143
MANAUS-AMAPA;2022-01-08;1384.04;281.2656;649.13;131.9167
NORDESTE;2022-01-08;16779.22;124.1834;15891.355;117.6123
NORTE;2022-01-08;22164.248;233.9651;14010.314;147.8924
PARANA;2022-01-08;36433.483528000004;98.5795;36268.494527999996;98.133
PARANAPANEMA;2022-01-08;1707.416228;46.7576;1707.416228;46.7576
SUDESTE;2022-01-08;22286.156000000003;216.4064;15309.946;148.665
SUL;2022-01-08;1068.152;31.7814;838.499;24.9484
TELES PIRES;2022-01-08;4737.618;141.7311;3361.286;100.5566
BELO MONTE;2022-01-09;11775.947999999999;209.1918;11339.269;201.4345
IGUACU;2022-01-09;982.1719999999999;23.8683;850.7570000000001;20.6747
ITAIPU;2022-01-09;2402.3819040000003;71.4552;2402.3819040000003;71.4552
MADEIRA;2022-01-09;6706.93;81.8918;5860.559;71.5576
MANAUS-AMAPA;2022-01-09;1384.9360000000001;281.4477;514.408;104.5384
NORDESTE;2022-01-09;16376.872;121.2057;15603.768;115.4839
NORTE;2022-01-09;22473.06;237.2249;14138.721;149.2479
PARANA;2022-01-09;39817.53707200002;107.7358;39586.51007200003;107.1107
PARANAPANEMA;2022-01-09;1674.438024;45.8545;1668.0100240000002;45.6785
SUDESTE;2022-01-09;24920.915;241.9909;15439.043000000001;149.9186
SUL;2022-01-09;966.1790000000003;28.7473;718.815;21.3874
TELES PIRES;2022-01-09;4687.360000000001;140.2276;2950.4610000000002;88.2663
BELO MONTE;2022-01-10;11838.885;210.3098;11279.324999999999;200.3696
IGUACU;2022-01-10;1016.785;24.7094;939.56;22.8328
ITAIPU;2022-01-10;2362.0820080000003;70.2566;2362.0820080000003;70.2566
MADEIRA;2022-01-10;6695.911;81.7573;6639.9349999999995;81.0738
MANAUS-AMAPA;2022-01-10;1338.152;271.9402;643.367;130.7455
NORDESTE;2022-01-10;16619.52;123.0015;16002.842;118.4374
NORTE;2022-01-10;23041.756999999998;243.228;14104.782;148.8896
PARANA;2022-01-10;43364.24207999998;117.3323;43160.78107999998;116.7818
PARANAPANEMA;2022-01-10;1649.292912;45.1659;1649.292912;45.1659
SUDESTE;2022-01-10;29805.028;289.4173;17769.984;172.5528
SUL;2022-01-10;871.907;25.9424;691.0640000000002;20.5617
TELES PIRES;2022-01-10;4639.221;138.7875;3461.1980000000003;103.5456
BELO MONTE;2022-01-11;11899.225999999999;211.3817;11206.904;199.0831
IGUACU;2022-01-11;1139.4730000000002;27.691;1088.779;26.459
ITAIPU;2022-01-11;2311.394696;68.7489;2311.394696;68.7489
MADEIRA;2022-01-11;6699.937999999999;81.8065;6608.161;80.6859
MANAUS-AMAPA;2022-01-11;1241.943;252.3886;542.995;110.3478
NORDESTE;2022-01-11;17334.182999999997;128.2907;16632.418999999998;123.097
NORTE;2022-01-11;23421.624;247.2379;13870.124;146.4126
PARANA;2022-01-11;47115.359044000004;127.4818;46830.756043999994;126.7118
PARANAPANEMA;2022-01-11;1653.37726;45.2778;1653.37726;45.2778
SUDESTE;2022-01-11;32900.009000000005;319.4707;19743.124;191.7127
SUL;2022-01-11;804.835;23.9468;652.1389999999999;19.4035
TELES PIRES;2022-01-11;4603.833;137.7288;3555.085;106.3543
BELO MONTE;2022-01-12;11979.785;212.8128;11254.899;199.9357
IGUACU;2022-01-12;1175.1729999999998;28.5585;1121.625;27.2572
ITAIPU;2022-01-12;2260.3078680000003;67.2294;2260.3078680000003;67.2294
MADEIRA;2022-01-12;6631.174;80.9669;6587.728999999999;80.4364
MANAUS-AMAPA;2022-01-12;1108.6019999999999;225.2909;649.385;131.9685
NORDESTE;2022-01-12;17686.601;130.899;16700.52;123.601
NORTE;2022-01-12;24123.433999999997;254.6462;13628.607;143.8631
PARANA;2022-01-12;50480.31317200001;136.5865;49952.427172;135.1582
PARANAPANEMA;2022-01-12;1686.5049600000002;46.185;1686.5049599999998;46.185
SUDESTE;2022-01-12;32885.545999999995;319.3303;19754.976;191.8278
SUL;2022-01-12;745.866;22.1922;607.4720000000001;18.0745
TELES PIRES;2022-01-12;4593.818;137.4292;3592.733;107.4806
BELO MONTE;2022-01-13;12058.098;214.204;11270.939999999999;200.2207
IGUACU;2022-01-13;1185.331;28.8054;1139.8469999999998;27.7
ITAIPU;2022-01-13;2266.669392;67.4186;2266.669392;67.4186
MADEIRA;2022-01-13;6533.244000000001;79.7711;6465.469;78.9436
MANAUS-AMAPA;2022-01-13;992.791;201.7557;663.641;134.8656
NORDESTE;2022-01-13;17650.285000000003;130.6302;16808.449;124.3998
NORTE;2022-01-13;24805.443;261.8454;12710.725;134.174
PARANA;2022-01-13;52398.84608400001;141.7775;51817.256084;140.2039
PARANAPANEMA;2022-01-13;1702.386524;46.6199;1693.3925239999999;46.3736
SUDESTE;2022-01-13;31227.786000000004;303.2328;19789.265000000003;192.1607
SUL;2022-01-13;699.553;20.8142;599.14;17.8266
TELES PIRES;2022-01-13;4530.609;135.5382;3535.115;105.7569
BELO MONTE;2022-01-14;12090.233;214.7748;11245.921;199.7762
IGUACU;2022-01-14;1246.775;30.2986;1218.236;29.605
ITAIPU;2022-01-14;2266.3620719999994;67.4095;2266.3620719999994;67.4095
MADEIRA;2022-01-14;6453.593;78.7986;6354.538;77.5891
MANAUS-AMAPA;2022-01-14;1000.85;203.3935;573.125;116.4709
NORDESTE;2022-01-14;17525.807;129.7089;16195.334000000003;119.8621
NORTE;2022-01-14;25426.738;268.4038;11381.998000000001;120.148
PARANA;2022-01-14;52308.899824000015;141.5342;51756.959824000005;140.0408
PARANAPANEMA;2022-01-14;1688.6781039999998;46.2445;1667.1121039999998;45.6539
SUDESTE;2022-01-14;28133.167999999994;273.183;18314.856999999996;177.8437
SUL;2022-01-14;674.7199999999998;20.0754;539.7299999999999;16.0589
TELES PIRES;2022-01-14;4500.025000000001;134.6233;2993.8239999999996;89.5636
BELO MONTE;2022-01-15;12102.009;214.984;11188.850999999999;198.7624
IGUACU;2022-01-15;1349.8259999999998;32.8029;1320.7269999999996;32.0957
ITAIPU;2022-01-15;2302.533636;68.4854;2302.533636;68.4854
MADEIRA;2022-01-15;6323.285;77.2075;6220.754999999999;75.9556
MANAUS-AMAPA;2022-01-15;1028.859;209.0855;692.553;140.7411
NORDESTE;2022-01-15;17488.586000000003;129.4335;15802.71;116.9563
NORTE;2022-01-15;25770.177;272.0291;9953.400000000001;105.0678
PARANA;2022-01-15;50981.146751999986;137.9416;50438.17075199999;136.4725
PARANAPANEMA;2022-01-15;1696.639612;46.4625;1683.0336120000002;46.0899
SUDESTE;2022-01-15;24956.822999999997;242.3396;16623.740000000005;161.4224
SUL;2022-01-15;736.0899999999998;21.9014;631.674;18.7946
TELES PIRES;2022-01-15;4422.051;132.2906;3214.387;96.162
BELO MONTE;2022-01-16;12108.609999999999;215.1013;11179.383;198.5942
IGUACU;2022-01-16;1613.413;39.2084;1533.39;37.2637
ITAIPU;2022-01-16;2268.2777;67.4665;2268.2777;67.4665
MADEIRA;2022-01-16;6229.359;76.0607;5488.3099999999995;67.0125
MANAUS-AMAPA;2022-01-16;1000.006;203.2219;676.395;137.4575
NORDESTE;2022-01-16;17409.93;128.8513;15629.686;115.6757
NORTE;2022-01-16;25980.037;274.2444;9641.588;101.7763
PARANA;2022-01-16;49132.65414399999;132.9401;48615.01514399999;131.5395
PARANAPANEMA;2022-01-16;1640.717156;44.9311;1615.480156;44.24
SUDESTE;2022-01-16;21822.175000000003;211.901;14547.944000000001;141.2657
SUL;2022-01-16;900.693;26.7989;694.6449999999999;20.6682
TELES PIRES;2022-01-16;4433.249;132.6256;3078.515;92.0972
BELO MONTE;2022-01-17;12110.26;215.1306;11164.48;198.3295
IGUACU;2022-01-17;1921.361;46.692;1892.2620000000002;45.9849
ITAIPU;2022-01-17;2222.394824;66.1018;2222.394824;66.1018
MADEIRA;2022-01-17;6167.429999999999;75.3045;6030.143999999999;73.6283
MANAUS-AMAPA;2022-01-17;949.637;192.9859;665.5509999999999;135.2538
NORDESTE;2022-01-17;17470.896000000004;129.3026;15536.889000000001;114.9889
NORTE;2022-01-17;26070.118;275.1953;9200.18;97.1168
PARANA;2022-01-17;47242.254088;127.8252;46799.90708800001;126.6283
PARANAPANEMA;2022-01-17;1781.418088;48.7842;1738.301088;47.6034
SUDESTE;2022-01-17;18846.813;183.0092;12979.878999999999;126.0392
SUL;2022-01-17;1221.9410000000003;36.3572;1087.71;32.3633
TELES PIRES;2022-01-17;4378.277;130.981;3296.013;98.6039
BELO MONTE;2022-01-18;12116.529999999999;215.242;11164.48;198.3295
IGUACU;2022-01-18;2137.562;51.9461;2137.5620000000004;51.9461
ITAIPU;2022-01-18;2164.936228;64.3927;2164.936228;64.3927
MADEIRA;2022-01-18;6105.528;74.5487;5965.634999999999;72.8406
MANAUS-AMAPA;2022-01-18;900.7900000000001;183.0592;714.72;145.2459
NORDESTE;2022-01-18;17858.407;132.1705;15446.645;114.321
NORTE;2022-01-18;26000.31;274.4584;8667.195;91.4906
PARANA;2022-01-18;45564.728928000004;123.2862;45389.210928;122.8113
PARANAPANEMA;2022-01-18;2043.883844;55.9718;1990.649844;54.514
SUDESTE;2022-01-18;16850.402000000002;163.6233;12310.922999999997;119.5434
SUL;2022-01-18;1586.23;47.1961;1488.6490000000001;44.2927
TELES PIRES;2022-01-18;4329.331;129.5168;3260.8700000000003;97.5526
BELO MONTE;2022-01-19;12121.231;215.3255;11173.029;198.4813
IGUACU;2022-01-19;2189.2960000000003;53.2033;2189.296;53.2033
ITAIPU;2022-01-19;2158.738608;64.2084;2158.738608;64.2084
MADEIRA;2022-01-19;6053.460999999999;73.913;5915.3060000000005;72.2261
MANAUS-AMAPA;2022-01-19;895.426;181.9691;584.7669999999999;118.8368
NORDESTE;2022-01-19;18364.684999999998;135.9175;16133.325;119.4032
NORTE;2022-01-19;25872.006;273.1041;8722.316;92.0725
PARANA;2022-01-19;44172.949016;119.5204;44153.65201600001;119.4682
PARANAPANEMA;2022-01-19;2302.621376;63.0573;2278.6353759999997;62.4005
SUDESTE;2022-01-19;15261.903000000004;148.1985;11397.122999999998;110.6701
SUL;2022-01-19;1789.5520000000004;53.2457;1681.131;50.0198
TELES PIRES;2022-01-19;4264.905;127.5894;3344.7699999999995;100.0625
BELO MONTE;2022-01-20;12121.06;215.3225;11194.846;198.8689
IGUACU;2022-01-20;2221.34;53.982;2221.3400000000006;53.982
ITAIPU;2022-01-20;2175.436328;64.7051;2175.436328;64.7051
MADEIRA;2022-01-20;6014.1050000000005;73.4324;5900.2789999999995;72.0426
MANAUS-AMAPA;2022-01-20;952.0459999999999;193.4755;642.821;130.6346
NORDESTE;2022-01-20;18862.622000000003;139.6028;16342.861;120.9539
NORTE;2022-01-20;25422.856;268.3628;8960.530999999999;94.5871
PARANA;2022-01-20;43112.82547599999;116.652;42920.043476;116.1304
PARANAPANEMA;2022-01-20;2232.089196;61.1258;2218.484196;60.7532
SUDESTE;2022-01-20;13702.111000000003;133.0523;10315.499000000002;100.1671
SUL;2022-01-20;1751.9350000000002;52.1264;1650.1789999999996;49.0988
TELES PIRES;2022-01-20;4234.387000000001;126.6764;3374.288;100.9456
BELO MONTE;2022-01-21;12117.517;215.2595;11198.893;198.9408
IGUACU;2022-01-21;2255.102;54.8025;2255.102;54.8025
ITAIPU;2022-01-21;2214.937192;65.88;2214.937192;65.88
MADEIRA;2022-01-21;5985.819;73.0871;5886.765;71.8776
MANAUS-AMAPA;2022-01-21;962.9680000000001;195.6951;660.291;134.1848
NORDESTE;2022-01-21;19356.014000000003;143.2544;16628.315;123.0666
NORTE;2022-01-21;24729.32;261.0419;8933.919;94.3062
PARANA;2022-01-21;41896.087763999996;113.3598;41682.23476399999;112.7812
PARANAPANEMA;2022-01-21;2167.946044;59.3692;2153.090044;58.9624
SUDESTE;2022-01-21;12566.971999999998;122.0297;9424.985999999997;91.5199
SUL;2022-01-21;1547.712;46.0501;1461.458;43.4837
TELES PIRES;2022-01-21;4168.686;124.7109;3303.657;98.8326
BELO MONTE;2022-01-22;12124.867;215.3901;11197.853;198.9223
IGUACU;2022-01-22;2256.3769999999995;54.8334;2246.1530000000002;54.585
ITAIPU;2022-01-22;2244.10186;66.7474;2244.10186;66.7474
MADEIRA;2022-01-22;6011.0779999999995;73.3955;5912.892;72.1966
MANAUS-AMAPA;2022-01-22;942.1690000000001;191.4683;619.393;125.8735
NORDESTE;2022-01-22;20058.816000000003;148.4558;16859.006999999998;124.7739
NORTE;2022-01-22;23995.379;253.2944;8641.966;91.2243
PARANA;2022-01-22;40156.85729199999;108.6539;40140.943291999996;108.6109
PARANAPANEMA;2022-01-22;2188.4888479999995;59.9318;2164.700848;59.2804
SUDESTE;2022-01-22;11374.897;110.4543;9079.837;88.1684
SUL;2022-01-22;1373.2250000000001;40.8584;1266.3709999999999;37.6791
TELES PIRES;2022-01-22;4049.889;121.1569;3227.541;96.5555
BELO MONTE;2022-01-23;12140.777;215.6727;11198.198999999999;198.9285
IGUACU;2022-01-23;2233.185;54.2698;2178.904;52.9507
ITAIPU;2022-01-23;2176.829512;64.7465;2176.829512;64.7465
MADEIRA;2022-01-23;6095.7119999999995;74.4289;5939.67;72.5236
MANAUS-AMAPA;2022-01-23;910.4580000000001;185.0239;671.7759999999998;136.5188
NORDESTE;2022-01-23;20632.376999999997;152.7008;16920.341;125.2279
NORTE;2022-01-23;22917.638;241.9178;8209.976;86.6642
PARANA;2022-01-23;38149.09675200002;103.2215;37973.584752;102.7466
PARANAPANEMA;2022-01-23;2230.4547359999997;61.081;2216.848736;60.7084
SUDESTE;2022-01-23;10498.543999999998;101.9446;7939.386999999999;77.0942
SUL;2022-01-23;1228.175;36.5427;1053.652;31.35
TELES PIRES;2022-01-23;3881.1189999999997;116.108;3033.967;90.7645
BELO MONTE;2022-01-24;12161.080999999998;216.0334;11200.84;198.9754
IGUACU;2022-01-24;2150.248;52.2543;2149.418;52.2342
ITAIPU;2022-01-24;2142.512112;63.7258;2142.512112;63.7258
MADEIRA;2022-01-24;6197.841;75.6759;6065.768;74.0632
MANAUS-AMAPA;2022-01-24;879.2719999999999;178.6863;708.448;143.9713
NORDESTE;2022-01-24;21017.212000000003;155.5489;16278.692;120.479
NORTE;2022-01-24;21693.912;229.0002;7959.045;84.0154
PARANA;2022-01-24;36027.689688;97.4815;35750.857688;96.7325
PARANAPANEMA;2022-01-24;2176.1502;59.5939;2162.5452;59.2213
SUDESTE;2022-01-24;10074.551;97.8274;8010.538999999998;77.7852
SUL;2022-01-24;1154.0890000000002;34.3384;1063.9599999999998;31.6567
TELES PIRES;2022-01-24;3746.6459999999997;112.0851;3008.21;89.994
BELO MONTE;2022-01-25;12173.277999999998;216.2501;11211.331999999999;199.1618
IGUACU;2022-01-25;2072.892;50.3745;2072.8920000000003;50.3745
ITAIPU;2022-01-25;2115.611368;62.9257;2115.611368;62.9257
MADEIRA;2022-01-25;6343.093;77.4494;6183.214999999999;75.4973
MANAUS-AMAPA;2022-01-25;896.0179999999999;182.0894;714.2949999999998;145.1596
NORDESTE;2022-01-25;21963.905999999995;162.5554;17768.558999999997;131.5056
NORTE;2022-01-25;20531.078999999998;216.7254;8212.08;86.6864
PARANA;2022-01-25;34169.95775200002;92.455;33905.047752000006;91.7382
PARANAPANEMA;2022-01-25;1985.6158800000003;54.3761;1972.39388;54.014
SUDESTE;2022-01-25;9454.887;91.8103;7841.468000000001;76.1434
SUL;2022-01-25;1110.2520000000002;33.034;1011.264;30.0888
TELES PIRES;2022-01-25;3663.297;109.5916;2959.328;88.5316
BELO MONTE;2022-01-26;12174.881;216.2786;11236.978000000001;199.6173
IGUACU;2022-01-26;1989.551;48.3492;1989.551;48.3492
ITAIPU;2022-01-26;2096.6087479999997;62.3605;2096.6087479999997;62.3605
MADEIRA;2022-01-26;6555.995;80.0489;6377.002;77.8634
MANAUS-AMAPA;2022-01-26;922.972;187.567;664.4780000000001;135.0357
NORDESTE;2022-01-26;22719.711;168.1492;18127.190000000002;134.1598
NORTE;2022-01-26;19454.471;205.3608;8218.885;86.7583
PARANA;2022-01-26;32621.048032;88.264;32355.559031999997;87.5457
PARANAPANEMA;2022-01-26;1748.51422;47.8831;1732.1942199999999;47.4362
SUDESTE;2022-01-26;9581.019000000002;93.0351;7409.722000000001;71.951
SUL;2022-01-26;1090.1;32.4344;996.9760000000001;29.6637
TELES PIRES;2022-01-26;3622.696;108.377;2982.352;89.2204
BELO MONTE;2022-01-27;12170.71;216.2045;11218.822;199.2948
IGUACU;2022-01-27;1984.5229999999997;48.227;1984.523;48.227
ITAIPU;2022-01-27;2179.687588;64.8315;2179.687588;64.8315
MADEIRA;2022-01-27;6796.939;82.9909;6627.503;80.922
MANAUS-AMAPA;2022-01-27;912.538;185.4466;689.9019999999999;140.2024
NORDESTE;2022-01-27;23457.095;173.6066;19168.232;141.8646
NORTE;2022-01-27;18512.566000000003;195.418;9097.004;96.0277
PARANA;2022-01-27;31412.891796;84.9951;31150.207796;84.2843
PARANAPANEMA;2022-01-27;1541.024616;42.201;1528.341616;41.8537
SUDESTE;2022-01-27;9782.948;94.9959;8050.89;78.177
SUL;2022-01-27;1200.827;35.729;1104.8939999999998;32.8746
TELES PIRES;2022-01-27;3615.665;108.1667;2998.7380000000003;89.7106
BELO MONTE;2022-01-28;12149.621;215.8298;11197.342999999999;198.9133
IGUACU;2022-01-28;2128.8230000000003;51.7337;2123.227;51.5977
ITAIPU;2022-01-28;2296.151624;68.2956;2296.151624;68.2956
MADEIRA;2022-01-28;7096.005999999999;86.6425;6917.881999999999;84.4676
MANAUS-AMAPA;2022-01-28;946.0939999999999;192.2659;701.702;142.6004
NORDESTE;2022-01-28;24384.908;180.4733;21458.024999999998;158.8114
NORTE;2022-01-28;17752.766;187.3976;9434.810000000001;99.5935
PARANA;2022-01-28;30323.987240000002;82.0488;30222.27624;81.7736
PARANAPANEMA;2022-01-28;1415.621136;38.7668;1398.993136;38.3115
SUDESTE;2022-01-28;9944.149999999998;96.5612;8420.406999999997;81.7651
SUL;2022-01-28;1406.937;41.8615;1296.1809999999998;38.5661
TELES PIRES;2022-01-28;3593.8579999999997;107.5143;3000.913;89.7757
BELO MONTE;2022-01-29;12120.963;215.3207;11196.091999999999;198.891
IGUACU;2022-01-29;2428.7369999999996;59.0221;2325.499;56.5132
ITAIPU;2022-01-29;2614.545388;77.7657;2614.545388;77.7657
MADEIRA;2022-01-29;7393.603999999999;90.2762;7208.527999999999;88.0164
MANAUS-AMAPA;2022-01-29;974.3870000000001;198.0156;675.9440000000001;137.3658
NORDESTE;2022-01-29;25711.054;190.2882;22977.241000000005;170.0552
NORTE;2022-01-29;17084.894;180.3476;8905.956;94.011
PARANA;2022-01-29;29206.254787999995;79.0245;29190.162788;78.9809
PARANAPANEMA;2022-01-29;1538.1798239999998;42.1231;1538.179824;42.1231
SUDESTE;2022-01-29;10888.119999999999;105.7275;9117.966;88.5387
SUL;2022-01-29;1837.0480000000002;54.6589;1627.1879999999999;48.4148
TELES PIRES;2022-01-29;3554.2180000000003;106.3284;2853.665;85.3706
BELO MONTE;2022-01-30;12090.46;214.7789;11196.091;198.891
IGUACU;2022-01-30;2679.349;65.1123;2570.982;62.4788
ITAIPU;2022-01-30;2894.5651279999997;86.0945;2894.5651279999997;86.0945
MADEIRA;2022-01-30;7653.465999999999;93.4491;5935.489;72.4725
MANAUS-AMAPA;2022-01-30;1013.845;206.0343;419.105;85.1708
NORDESTE;2022-01-30;26612.418;196.9592;21685.751;160.4968
NORTE;2022-01-30;16495.578;174.1268;8237.304;86.9527
PARANA;2022-01-30;28641.97056400001;77.4977;28486.502564000006;77.077
PARANAPANEMA;2022-01-30;2109.415308;57.7664;2098.9143080000003;57.4788
SUDESTE;2022-01-30;10791.877;104.7929;8872.41;86.1542
SUL;2022-01-30;2005.3660000000002;59.6669;1647.5110000000004;49.0195
TELES PIRES;2022-01-30;3499.209;104.6827;2426.8140000000003;72.6008
BELO MONTE;2022-01-31;12051.767;214.0915;11196.089;198.891
IGUACU;2022-01-31;2745.392;66.7173;2695.671;65.509
ITAIPU;2022-01-31;3604.105544;107.1987;3604.105544;107.1987
MADEIRA;2022-01-31;7860.5560000000005;95.9777;7264.141;88.6954
MANAUS-AMAPA;2022-01-31;1145.6019999999999;232.8101;573.329;116.5123
NORDESTE;2022-01-31;26580.886000000002;196.7258;21967.824;162.5844
NORTE;2022-01-31;16126.552;170.2314;7818.9039999999995;82.5361
PARANA;2022-01-31;28676.69580400001;77.5916;28251.762803999998;76.4419
PARANAPANEMA;2022-01-31;2817.151652;77.1478;2808.229652;76.9034
SUDESTE;2022-01-31;10284.046000000002;99.8617;8253.39;80.1433
SUL;2022-01-31;1937.214;57.6392;1741.462;51.8148
TELES PIRES;2022-01-31;3540.5209999999997;105.9186;2802.743;83.8472
BELO MONTE;2022-02-01;12010.260999999999;133.4094;11196.600999999999;124.3713
